Team Number,Player Name,Position,Height,Weight,Team
18,Omari Moore,F,6-6,195,Milwaukee Bucks
12,Ja Morant,G,6-3,175,Memphis Grizzlies
8,Marcus Morris,F,6-8,218,Los Angeles Clippers
5,Monte Morris,G,6-2,183,Detroit Pistons
25,Trey Murphy III,G,6-8,208,New Orleans Pelicans
5,Dejounte Murray,SG,6-5,180,Atlanta Hawks
27,Jamal Murray,SG,6-4,215,Denver Nuggets
13,Keegan Murray,F,6-8,215,Sacramento Kings
8,Kris Murray,F,6-8,215,Portland Trail Blazers
35,Mike Muscala,FC,6-11,240,Washington Wizards
22,"Larry Nance, Jr.",SF,6-7,245,New Orleans Pelicans
2,Andrew Nembhard,PG,6-5,193,Indiana Pacers
23,Aaron Nesmith,F,6-6,213,Indiana Pacers
20,Georges Niang,F,6-7,235,Cleveland Cavaliers
22,Zeke Nnaji,PF,6-11,240,Denver Nuggets
0,Nerlens Noel,FC,6-11,220,Sacramento Kings
,Obadiah Noel,G,6-4,190,New York Knicks
,Miles Norris,PF,6-10,220,Atlanta Hawks
24,Markquis Nowell,PG,5-8,160,Toronto Raptors
21,Frank Ntilikina,PG,6-5,200,Charlotte Hornets
27,Jusuf Nurkic,FC,7-0,290,Portland Trail Blazers
13,Jordan Nwora,F,6-8,226,Indiana Pacers
00,Royce O'Neale,SF,6-6,220,Brooklyn Nets
,Kevin Obanor,F,6-8,235,Toronto Raptors
,Joshua Obiesie,F,6-6,190,Houston Rockets
3,Chuma Okeke,PF,6-8,230,Orlando Magic
2,Josh Okogie,SG,6-4,220,Phoenix Suns
17,Onyeka Okongwu,PF,6-9,245,Atlanta Hawks
35,Isaac Okoro,SG,6-5,225,Cleveland Cavaliers
4,Victor Oladipo,G,6-4,210,Oklahoma City Thunder
41,Kelly Olynyk,C,6-11,240,Utah Jazz
97,Eugene Omoruyi,F,6-7,244,Washington Wizards
16,Cedi Osman,GF,6-7,230,San Antonio Spurs
3,Chris Paul,PG,6-0,175,Golden State Warriors
15,Cameron Payne,G,6-3,190,San Antonio Spurs
8,Gary Payton II,G,6-3,195,Golden State Warriors
,Drew Peterson,F,6-9,205,Miami Heat
,Filip Petrusev,FC,6-11,234,Philadelphia Sixers
13,Julian Phillips,F,6-8,197,Chicago Bulls
24,Jalen Pickett,F,6-4,202,Denver Nuggets
44,Mason Plumlee,PF,6-11,254,Los Angeles Clippers
2,Brandin Podziemski,G,6-5,205,Golden State Warriors
19,Jakob Poeltl,C,7-0,240,Toronto Raptors
17,Aleksej Pokusevski,C,7-0,210,Oklahoma City Thunder
13,Jordan Poole,SG,6-4,192,Washington Wizards
,"Craig Porter, Jr.",G,6-2,178,Cleveland Cavaliers
3,"Kevin Porter, Jr.",SF,6-4,203,Houston Rockets
1,"Michael Porter, Jr.",PF,6-10,218,Denver Nuggets
32,Otto Porter,SF,6-8,228,Toronto Raptors
1,Bobby Portis,PF,6-11,250,Milwaukee Bucks
8,Kristaps Porzingis,FC,7-3,240,Boston Celtics
25,Micah Potter,C,6-10,240,Utah Jazz
7,Dwight Powell,PF,6-10,240,Dallas Mavericks
24,Norman Powell,SG,6-3,215,Los Angeles Clippers
1,Jason Preston,G,6-3,181,Los Angeles Clippers
12,Taurean Prince,F,6-7,218,Los Angeles Lakers
11,Payton Pritchard,PG,6-2,190,Boston Celtics
18,Olivier-Maxence Prosper,F,6-8,215,Dallas Mavericks
