Player_name,Salary in 2023/24
Jaden Hardy,"$1,719,864"
Kennedy Chandler,"$1,719,864"
Kenneth Lofton,"$1,719,864"
Josh Minott,"$1,719,864"
Jabari Walker,"$1,719,864"
Christian Koloko,"$1,719,864"
Xavier Cooks,"$1,719,864"
Ryan Rollins,"$1,719,864"
Max Christie,"$1,719,864"
Jalen Pickett,"$1,708,143"
Julian Phillips,"$1,600,000"
Eric Bledsoe,"$1,300,000"
Mouhamed Gueye,"$1,119,563"
Jordan Walsh,"$1,119,563"
Hunter Tyson,"$1,119,563"
Trayce Jackson-Davis,"$1,119,563"
Maxwell Lewis,"$1,119,563"
Andre Jackson Jr,"$1,119,563"
Chris Livingston,"$1,119,563"
Filip Petrusev,"$1,119,563"
Sidy Cissoko,"$1,119,563"
Jordan Walker,"$1,119,563"
Souley Boum,"$1,119,563"
Armaan Franklin,"$1,119,563"
Andrew Funk,"$1,119,563"
Tosan Evbuomwan,"$1,119,563"
Matthew Mayer,"$1,119,563"
Joshua Obiesie,"$1,119,563"
Drew Peterson,"$1,119,563"
Jazian Gortman,"$1,119,563"
Obadiah Noel,"$1,119,563"
Dmytro Skapintsev,"$1,119,563"
Jacob Toppin,"$1,119,563"
Toumani Camara,"$1,119,563"
Rayan Rupert,"$1,119,563"
Mouhamadou Gueye,"$1,119,563"
Kevin Obanor,"$1,119,563"
Nathan Knight,"$940,500"
Nik Stauskas,"$702,311"
Juwan Morgan,"$576,230"
Leaky Black,"$559,782"
Craig Porter,"$559,782"
Jordan Miller,"$559,782"
Alex Fudge,"$559,782"
Omari Moore,"$559,782"
Jaylen Clark,"$559,782"
Jaylen Martin,"$559,782"
Seth Lundy,"$559,782"
Miles Norris,"$559,782"
JD Davison,"$559,782"
Jay Scrubb,"$559,782"
Armoni Brooks,"$559,782"
Jalen Wilson,"$559,782"
Amari Bailey,"$559,782"
Onuralp Bitim,"$559,782"
Adama Sanogo,"$559,782"
Emoni Bates,"$559,782"
Isaiah Mobley,"$559,782"
AJ Lawson,"$559,782"
Mike Miles,"$559,782"
Collin Gillespie,"$559,782"
Jay Huff,"$559,782"
Braxton Key,"$559,782"
Malcolm Cazalon,"$559,782"
Jared Rhoden,"$559,782"
Lester Quinones,"$559,782"
Darius Days,"$559,782"
Trevor Hudgins,"$559,782"
Jermaine Samuels,"$559,782"
Kendall Brown,"$559,782"
Oscar Tshiebwe,"$559,782"
Isaiah Wong,"$559,782"
Moussa Diabate,"$559,782"
Colin Castleton,"$559,782"
D'Moi Hodge,"$559,782"
Jacob Gilyard,"$559,782"
Vince Williams Jr,"$559,782"
Jamaree Bouyea,"$559,782"
Jamal Cain,"$559,782"
Dru Smith,"$559,782"
Lindell Wigginton,"$559,782"
Luka Garza,"$559,782"
Dereon Seabron,"$559,782"
Dylan Windler,"$559,782"
Keyontae Johnson,"$559,782"
Kevon Harris,"$559,782"
Ricky Council,"$559,782"
Terquavion Smith,"$559,782"
Azuolas Tubelis,"$559,782"
Udoka Azubuike,"$559,782"
Saben Lee,"$559,782"
Ibou Badji,"$559,782"
John Butler,"$559,782"
Keon Ellis,"$559,782"
Jalen Slawson,"$559,782"
Dominick Barlow,"$559,782"
Sir'Jabari Rice,"$559,782"
Javon Freedom-Liberty,"$559,782"
Ron Harper Jr,"$559,782"
Markquis Nowell,"$559,782"
Joey Hauser,"$559,782"
Johnny Juzang,"$559,782"
Micah Potter,"$559,782"
Jared Butler,"$559,782"
Eugene Omoruyi,"$559,782"
Malik Fitts,"$555,217"
Didi Louzada,"$268,032"
